PING host2-lan1 (10.10.1.2) 56(84) bytes of data.
64 bytes from 10.10.1.2: icmp_req=1 ttl=64 time=156 ms
64 bytes from 10.10.1.2: icmp_req=2 ttl=64 time=1.62 ms
64 bytes from 10.10.1.2: icmp_req=3 ttl=64 time=1.18 ms
64 bytes from 10.10.1.2: icmp_req=4 ttl=64 time=1.17 ms
64 bytes from 10.10.1.2: icmp_req=5 ttl=64 time=1.06 ms
64 bytes from 10.10.1.2: icmp_req=6 ttl=64 time=1.09 ms
64 bytes from 10.10.1.2: icmp_req=7 ttl=64 time=1.06 ms
64 bytes from 10.10.1.2: icmp_req=8 ttl=64 time=1.05 ms
64 bytes from 10.10.1.2: icmp_req=9 ttl=64 time=0.905 ms
64 bytes from 10.10.1.2: icmp_req=10 ttl=64 time=1.12 ms
64 bytes from 10.10.1.2: icmp_req=11 ttl=64 time=1.27 ms
64 bytes from 10.10.1.2: icmp_req=12 ttl=64 time=1.18 ms
64 bytes from 10.10.1.2: icmp_req=13 ttl=64 time=0.958 ms
64 bytes from 10.10.1.2: icmp_req=14 ttl=64 time=1.61 ms
64 bytes from 10.10.1.2: icmp_req=15 ttl=64 time=1.18 ms
64 bytes from 10.10.1.2: icmp_req=16 ttl=64 time=1.14 ms
64 bytes from 10.10.1.2: icmp_req=17 ttl=64 time=1.03 ms
64 bytes from 10.10.1.2: icmp_req=18 ttl=64 time=0.676 ms
64 bytes from 10.10.1.2: icmp_req=19 ttl=64 time=1.30 ms
64 bytes from 10.10.1.2: icmp_req=20 ttl=64 time=0.905 ms
64 bytes from 10.10.1.2: icmp_req=21 ttl=64 time=1.13 ms
64 bytes from 10.10.1.2: icmp_req=22 ttl=64 time=1.48 ms
64 bytes from 10.10.1.2: icmp_req=23 ttl=64 time=7.51 ms
64 bytes from 10.10.1.2: icmp_req=24 ttl=64 time=1.08 ms
64 bytes from 10.10.1.2: icmp_req=25 ttl=64 time=4.29 ms
64 bytes from 10.10.1.2: icmp_req=26 ttl=64 time=1.20 ms
64 bytes from 10.10.1.2: icmp_req=27 ttl=64 time=1.12 ms
64 bytes from 10.10.1.2: icmp_req=28 ttl=64 time=1.27 ms
64 bytes from 10.10.1.2: icmp_req=29 ttl=64 time=1.19 ms
64 bytes from 10.10.1.2: icmp_req=30 ttl=64 time=0.974 ms
64 bytes from 10.10.1.2: icmp_req=31 ttl=64 time=1.08 ms
64 bytes from 10.10.1.2: icmp_req=32 ttl=64 time=133 ms
64 bytes from 10.10.1.2: icmp_req=33 ttl=64 time=1.27 ms
64 bytes from 10.10.1.2: icmp_req=34 ttl=64 time=1.26 ms
64 bytes from 10.10.1.2: icmp_req=35 ttl=64 time=1.29 ms
64 bytes from 10.10.1.2: icmp_req=36 ttl=64 time=1.21 ms
64 bytes from 10.10.1.2: icmp_req=37 ttl=64 time=1.39 ms
64 bytes from 10.10.1.2: icmp_req=38 ttl=64 time=1.04 ms
64 bytes from 10.10.1.2: icmp_req=39 ttl=64 time=0.964 ms
64 bytes from 10.10.1.2: icmp_req=40 ttl=64 time=1.21 ms
64 bytes from 10.10.1.2: icmp_req=41 ttl=64 time=1.22 ms
64 bytes from 10.10.1.2: icmp_req=42 ttl=64 time=1.04 ms
64 bytes from 10.10.1.2: icmp_req=43 ttl=64 time=1.35 ms
64 bytes from 10.10.1.2: icmp_req=44 ttl=64 time=1.04 ms
64 bytes from 10.10.1.2: icmp_req=45 ttl=64 time=1.06 ms
64 bytes from 10.10.1.2: icmp_req=46 ttl=64 time=1.26 ms
64 bytes from 10.10.1.2: icmp_req=47 ttl=64 time=0.946 ms
64 bytes from 10.10.1.2: icmp_req=48 ttl=64 time=1.06 ms
64 bytes from 10.10.1.2: icmp_req=49 ttl=64 time=0.879 ms
64 bytes from 10.10.1.2: icmp_req=50 ttl=64 time=0.877 ms
64 bytes from 10.10.1.2: icmp_req=51 ttl=64 time=1.12 ms
64 bytes from 10.10.1.2: icmp_req=52 ttl=64 time=1.12 ms
64 bytes from 10.10.1.2: icmp_req=53 ttl=64 time=0.978 ms
64 bytes from 10.10.1.2: icmp_req=54 ttl=64 time=1.19 ms
64 bytes from 10.10.1.2: icmp_req=55 ttl=64 time=1.32 ms
64 bytes from 10.10.1.2: icmp_req=56 ttl=64 time=1.24 ms
64 bytes from 10.10.1.2: icmp_req=57 ttl=64 time=0.906 ms
64 bytes from 10.10.1.2: icmp_req=58 ttl=64 time=1.10 ms
64 bytes from 10.10.1.2: icmp_req=59 ttl=64 time=1.16 ms
64 bytes from 10.10.1.2: icmp_req=60 ttl=64 time=1.03 ms
64 bytes from 10.10.1.2: icmp_req=61 ttl=64 time=1.20 ms
64 bytes from 10.10.1.2: icmp_req=62 ttl=64 time=2.30 ms
64 bytes from 10.10.1.2: icmp_req=63 ttl=64 time=151 ms
64 bytes from 10.10.1.2: icmp_req=64 ttl=64 time=1.21 ms
64 bytes from 10.10.1.2: icmp_req=65 ttl=64 time=1.24 ms
64 bytes from 10.10.1.2: icmp_req=66 ttl=64 time=1.30 ms
64 bytes from 10.10.1.2: icmp_req=67 ttl=64 time=1.32 ms
64 bytes from 10.10.1.2: icmp_req=68 ttl=64 time=1.26 ms
64 bytes from 10.10.1.2: icmp_req=69 ttl=64 time=1.05 ms
64 bytes from 10.10.1.2: icmp_req=70 ttl=64 time=1.05 ms
64 bytes from 10.10.1.2: icmp_req=71 ttl=64 time=1.33 ms
64 bytes from 10.10.1.2: icmp_req=72 ttl=64 time=1.01 ms
64 bytes from 10.10.1.2: icmp_req=73 ttl=64 time=1.13 ms
64 bytes from 10.10.1.2: icmp_req=74 ttl=64 time=1.28 ms
64 bytes from 10.10.1.2: icmp_req=75 ttl=64 time=1.06 ms
64 bytes from 10.10.1.2: icmp_req=76 ttl=64 time=1.20 ms
64 bytes from 10.10.1.2: icmp_req=77 ttl=64 time=0.811 ms
64 bytes from 10.10.1.2: icmp_req=78 ttl=64 time=1.34 ms
64 bytes from 10.10.1.2: icmp_req=79 ttl=64 time=1.18 ms
64 bytes from 10.10.1.2: icmp_req=80 ttl=64 time=1.33 ms
64 bytes from 10.10.1.2: icmp_req=81 ttl=64 time=1.21 ms
64 bytes from 10.10.1.2: icmp_req=82 ttl=64 time=1.37 ms
64 bytes from 10.10.1.2: icmp_req=83 ttl=64 time=1.37 ms
64 bytes from 10.10.1.2: icmp_req=84 ttl=64 time=1.20 ms
64 bytes from 10.10.1.2: icmp_req=85 ttl=64 time=1.00 ms
64 bytes from 10.10.1.2: icmp_req=86 ttl=64 time=1.28 ms
64 bytes from 10.10.1.2: icmp_req=87 ttl=64 time=1.36 ms
64 bytes from 10.10.1.2: icmp_req=88 ttl=64 time=1.20 ms
64 bytes from 10.10.1.2: icmp_req=89 ttl=64 time=1.13 ms
64 bytes from 10.10.1.2: icmp_req=90 ttl=64 time=0.725 ms
64 bytes from 10.10.1.2: icmp_req=91 ttl=64 time=1.24 ms
64 bytes from 10.10.1.2: icmp_req=92 ttl=64 time=1.32 ms
64 bytes from 10.10.1.2: icmp_req=93 ttl=64 time=1.03 ms
64 bytes from 10.10.1.2: icmp_req=94 ttl=64 time=125 ms
64 bytes from 10.10.1.2: icmp_req=95 ttl=64 time=1.62 ms
64 bytes from 10.10.1.2: icmp_req=96 ttl=64 time=1.23 ms
64 bytes from 10.10.1.2: icmp_req=97 ttl=64 time=1.25 ms
64 bytes from 10.10.1.2: icmp_req=98 ttl=64 time=1.34 ms
64 bytes from 10.10.1.2: icmp_req=99 ttl=64 time=1.22 ms
64 bytes from 10.10.1.2: icmp_req=100 ttl=64 time=1.16 ms

--- host2-lan1 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99130ms
rtt min/avg/max/mdev = 0.676/6.902/156.991/27.689 ms
